rank	char	sound_code	aux_code	input_code	delimited_input	weight
652	哪	ny	b	nyb	ny;b	5559
653	微	wp	s	wps	wp;s	4250
654	尼	nn	x	nnx	nn;x	1418
655	继	jn	f	jnf	jn;f	2239
656	送	sq	z	sqz	sq;z	13081
657	急	jn	o	jno	jn;o	2364
658	血	xv	x	xvx	xv;x	3978
659	惊	jl	p	jlp	jl;p	792
660	伤	us	a	usa	us;a	3432
661	素	sj	m	sjm	sj;m	1112
662	药	ya	m	yam	ya;m	10276
663	适	un	o	uno	un;o	310
664	波	bu	s	bus	bu;s	4306
665	夜	ye	s	yes	ye;s	2431
666	省	ui	b	uib	ui;b	6221
667	初	vj	w	vjw	vj;w	3364
668	喜	xn	i	xni	xn;i	2026
669	卫	wp	b	wpb	wp;b	1089
670	源	yh	p	yhp	yh;p	2889
671	食	un	a	una	un;a	1705
672	险	xc	p	xcp	xc;p	1644
673	待	dx	w	dxw	dx;w	6848
674	述	uj	s	ujs	uj;s	329
