;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxyz
Length=32
Pinyin=@
PinyinLength=32
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]
a	安
batjqh	趵突泉
batk	包退
batl	报亭
bato	报摊
batr	暴跳
batrrjlp	暴跳如雷
bats	煲汤
batt	包头
battdykj	抱头大哭
battlhvh	抱头乱串
batttqkj	抱头痛哭
battujch	抱头鼠窜
batv	忁
batx	爆胎
baty	宝塔
baue	报社
bauj	报数
bauk	报税
baun	宝石
bauniqrn	饱食终日
bauo	宝山
bauokqhk	宝山空回
baus	报上
baut	保守
bautfpyn	饱受非议
bauu	不谙世事
bauv	犳
baux	暴晒
bauy	宝刹
bauz	报审
bava	包抄
bava	爆炒
bave	包车
bavh	饱
bavj	爆出
bavl	不按常理
bavn	保持
bavp	不按常理出牌
bavq	保重
bavs	包场
bavt	报仇
bavt	报酬
bavtxfhz	报仇雪恨
bawi	㙅
bawi	堢
bawj	宝物
bawk	報
bawn	㙸
bawp	保卫
bawp	包围
bawpio	保卫战
bawxjbyn	保外就医
bawz	保温
baxa	煲
baxb	保修
baxbqn	保修期
baxc	保鲜
baxc	保险
baxcqnjc	保险起见
baxe	飹
baxf	暴雪
baxg	包厢
baxgigyo	宝相庄严
baxh	飽
baxh	佨
baxi	保
baxi	䭋
baxl	賲
baxm	报信
baxmjbhu	抱薪救火
